timestamp,region,replicas,utilization_pct,queue_depth
2026-01-15T15:00:00Z,east,4,40,0
2026-01-15T15:05:00Z,east,4,45,1
2026-01-15T15:10:00Z,east,4,50,0
2026-01-15T15:15:00Z,east,4,55,2
2026-01-15T15:20:00Z,east,4,50,1
2026-01-15T15:25:00Z,east,4,48,0
2026-01-15T15:00:00Z,west,4,40,0
2026-01-15T15:05:00Z,west,4,45,1
2026-01-15T15:10:00Z,west,4,50,0
2026-01-15T15:15:00Z,west,4,55,2
2026-01-15T15:20:00Z,west,4,50,1
2026-01-15T15:25:00Z,west,4,48,0
2026-01-15T15:30:00Z,east,4,40,0
2026-01-15T15:35:00Z,east,4,45,1
2026-01-15T15:40:00Z,east,4,50,0
2026-01-15T15:45:00Z,east,4,55,2
2026-01-15T15:50:00Z,east,4,50,1
2026-01-15T15:55:00Z,east,4,48,0
2026-01-15T15:30:00Z,west,4,82,3
2026-01-15T15:35:00Z,west,4,88,8
2026-01-15T15:40:00Z,west,4,91,12
2026-01-15T15:45:00Z,west,4,95,18
2026-01-15T15:50:00Z,west,4,93,15
2026-01-15T15:55:00Z,west,4,91,10
