request_id,timestamp,region,deployment_id,status_code,latency_ms
before-east-00,2026-01-15T15:00:10Z,east,deploy-a,503,100
before-east-01,2026-01-15T15:01:10Z,east,deploy-a,200,120
before-east-02,2026-01-15T15:02:10Z,east,deploy-a,200,140
before-east-03,2026-01-15T15:03:10Z,east,deploy-a,200,160
before-east-04,2026-01-15T15:04:10Z,east,deploy-a,200,180
before-east-05,2026-01-15T15:05:10Z,east,deploy-a,200,100
before-east-06,2026-01-15T15:06:10Z,east,deploy-a,200,120
before-east-07,2026-01-15T15:07:10Z,east,deploy-a,200,140
before-east-08,2026-01-15T15:08:10Z,east,deploy-a,200,160
before-east-09,2026-01-15T15:09:10Z,east,deploy-a,200,180
before-east-10,2026-01-15T15:10:10Z,east,deploy-a,200,100
before-east-11,2026-01-15T15:11:10Z,east,deploy-a,200,120
before-east-12,2026-01-15T15:12:10Z,east,deploy-a,200,140
before-east-13,2026-01-15T15:13:10Z,east,deploy-a,200,160
before-east-14,2026-01-15T15:14:10Z,east,deploy-a,200,180
before-east-15,2026-01-15T15:15:10Z,east,deploy-a,200,100
before-east-16,2026-01-15T15:16:10Z,east,deploy-a,200,120
before-east-17,2026-01-15T15:17:10Z,east,deploy-a,200,140
before-east-18,2026-01-15T15:18:10Z,east,deploy-a,200,160
before-east-19,2026-01-15T15:19:10Z,east,deploy-a,200,180
before-east-20,2026-01-15T15:20:10Z,east,deploy-a,200,100
before-east-21,2026-01-15T15:21:10Z,east,deploy-a,200,120
before-east-22,2026-01-15T15:22:10Z,east,deploy-a,200,140
before-east-23,2026-01-15T15:23:10Z,east,deploy-a,200,160
before-east-24,2026-01-15T15:24:10Z,east,deploy-a,200,180
before-east-25,2026-01-15T15:25:10Z,east,deploy-a,200,100
before-east-26,2026-01-15T15:26:10Z,east,deploy-a,200,120
before-east-27,2026-01-15T15:27:10Z,east,deploy-a,200,140
before-east-28,2026-01-15T15:28:10Z,east,deploy-a,200,160
before-east-29,2026-01-15T15:29:10Z,east,deploy-a,200,180
before-west-00,2026-01-15T15:00:10Z,west,deploy-a,503,100
before-west-01,2026-01-15T15:01:10Z,west,deploy-a,200,120
before-west-02,2026-01-15T15:02:10Z,west,deploy-a,200,140
before-west-03,2026-01-15T15:03:10Z,west,deploy-a,200,160
before-west-04,2026-01-15T15:04:10Z,west,deploy-a,200,180
before-west-05,2026-01-15T15:05:10Z,west,deploy-a,200,100
before-west-06,2026-01-15T15:06:10Z,west,deploy-a,200,120
before-west-07,2026-01-15T15:07:10Z,west,deploy-a,200,140
before-west-08,2026-01-15T15:08:10Z,west,deploy-a,200,160
before-west-09,2026-01-15T15:09:10Z,west,deploy-a,200,180
before-west-10,2026-01-15T15:10:10Z,west,deploy-a,200,100
before-west-11,2026-01-15T15:11:10Z,west,deploy-a,200,120
before-west-12,2026-01-15T15:12:10Z,west,deploy-a,200,140
before-west-13,2026-01-15T15:13:10Z,west,deploy-a,200,160
before-west-14,2026-01-15T15:14:10Z,west,deploy-a,200,180
before-west-15,2026-01-15T15:15:10Z,west,deploy-a,200,100
before-west-16,2026-01-15T15:16:10Z,west,deploy-a,200,120
before-west-17,2026-01-15T15:17:10Z,west,deploy-a,200,140
before-west-18,2026-01-15T15:18:10Z,west,deploy-a,200,160
before-west-19,2026-01-15T15:19:10Z,west,deploy-a,200,180
before-west-20,2026-01-15T15:20:10Z,west,deploy-a,200,100
before-west-21,2026-01-15T15:21:10Z,west,deploy-a,200,120
before-west-22,2026-01-15T15:22:10Z,west,deploy-a,200,140
before-west-23,2026-01-15T15:23:10Z,west,deploy-a,200,160
before-west-24,2026-01-15T15:24:10Z,west,deploy-a,200,180
before-west-25,2026-01-15T15:25:10Z,west,deploy-a,200,100
before-west-26,2026-01-15T15:26:10Z,west,deploy-a,200,120
before-west-27,2026-01-15T15:27:10Z,west,deploy-a,200,140
before-west-28,2026-01-15T15:28:10Z,west,deploy-a,200,160
before-west-29,2026-01-15T15:29:10Z,west,deploy-a,200,180
after-east-00,2026-01-15T15:30:10Z,east,deploy-a,503,100
after-east-01,2026-01-15T15:31:10Z,east,deploy-a,200,120
after-east-02,2026-01-15T15:32:10Z,east,deploy-a,200,140
after-east-03,2026-01-15T15:33:10Z,east,deploy-a,200,160
after-east-04,2026-01-15T15:34:10Z,east,deploy-a,200,180
after-east-05,2026-01-15T15:35:10Z,east,deploy-a,200,100
after-east-06,2026-01-15T15:36:10Z,east,deploy-a,200,120
after-east-07,2026-01-15T15:37:10Z,east,deploy-a,200,140
after-east-08,2026-01-15T15:38:10Z,east,deploy-a,200,160
after-east-09,2026-01-15T15:39:10Z,east,deploy-a,200,180
after-east-10,2026-01-15T15:40:10Z,east,deploy-a,200,100
after-east-11,2026-01-15T15:41:10Z,east,deploy-a,200,120
after-east-12,2026-01-15T15:42:10Z,east,deploy-a,200,140
after-east-13,2026-01-15T15:43:10Z,east,deploy-a,200,160
after-east-14,2026-01-15T15:44:10Z,east,deploy-a,200,180
after-east-15,2026-01-15T15:45:10Z,east,deploy-a,200,100
after-east-16,2026-01-15T15:46:10Z,east,deploy-a,200,120
after-east-17,2026-01-15T15:47:10Z,east,deploy-a,200,140
after-east-18,2026-01-15T15:48:10Z,east,deploy-a,200,160
after-east-19,2026-01-15T15:49:10Z,east,deploy-a,200,180
after-east-20,2026-01-15T15:50:10Z,east,deploy-a,200,100
after-east-21,2026-01-15T15:51:10Z,east,deploy-a,200,120
after-east-22,2026-01-15T15:52:10Z,east,deploy-a,200,140
after-east-23,2026-01-15T15:53:10Z,east,deploy-a,200,160
after-east-24,2026-01-15T15:54:10Z,east,deploy-a,200,180
